"y"	"x1"	"x2"	"x3"	"x4"
-0.886	1.116	4.527	0	-0.68
0.392	0.764	6.026	0.085	0.656
-0.213	0.372	8.879	0.54	-0.304
1.36	1.909	7.487	-0.26	1.341
-0.716	1.058	4.816	0	-0.78
1.885	2.759	15.671	-0.191	2.015
-1.003	1.396	5.035	-0.028	-0.97
-0.882	1.232	5.741	-0.004	-0.861
1.226	1.757	3.282	-0.121	1.259
-1.005	1.439	4.403	-0.027	-1.03
-0.289	0.46	4.061	0.268	-0.358
-3.159	4.295	-10.135	0.458	-2.911
-1.012	1.293	4.607	-0.006	-0.805
-0.744	0.935	7.159	0.014	-0.565
-2.208	3.086	-2.433	-0.029	-2.156
-2.107	2.848	0.936	-0.173	-1.916
1.096	1.568	9.454	-0.132	1.122
2.036	2.911	20.999	-0.096	2.081
-1.728	2.469	6.256	-0.588	-1.764
-1.351	1.994	7.289	-0.481	-1.468
0.937	1.17	6.404	0	0.7
2.838	4.002	37.893	0.579	2.822
0.022	0.066	5.838	0.51	-0.062
-1.248	1.83	4.365	-0.357	-1.338
0.802	1.295	9.745	-0.012	1.017
1.584	2.25	9.506	-0.535	1.598
-0.053	0.126	6.961	0.463	-0.114
-0.389	0.702	1.059	0.119	-0.584
-1.053	1.413	5.405	-0.041	-0.942
-0.681	1.111	3.709	0	-0.878
