ozon	srad	ruzgar	sicak	ay
41	190	7.4	67	May
36	118	8	72	May
12	149	12.6	74	May
18	313	11.5	62	May
23	299	8.6	65	May
19	99	13.8	59	May
8	19	20.1	61	May
16	256	9.7	69	May
11	290	9.2	66	May
14	274	10.9	68	May
18	65	13.2	58	May
14	334	11.5	64	May
34	307	12	66	May
6	78	18.4	57	May
30	322	11.5	68	May
11	44	9.7	62	May
1	8	9.7	59	May
11	320	16.6	73	May
4	25	9.7	61	May
32	92	12	61	May
23	13	12	67	May
45	252	14.9	81	May
115	223	5.7	79	May
37	279	7.4	76	May
29	127	9.7	82	Haz
71	291	13.8	90	Haz
39	323	11.5	87	Haz
23	148	8	82	Haz
21	191	14.9	77	Haz
37	284	20.7	72	Haz
20	37	9.2	65	Haz
12	120	11.5	73	Haz
13	137	10.3	76	Haz
135	269	4.1	84	Tem
49	248	9.2	85	Tem
32	236	9.2	81	Tem
64	175	4.6	83	Tem
40	314	10.9	83	Tem
77	276	5.1	88	Tem
97	267	6.3	92	Tem
97	272	5.7	92	Tem
85	175	7.4	89	Tem
10	264	14.3	73	Tem
27	175	14.9	81	Tem
7	48	14.3	80	Tem
48	260	6.9	81	Tem
35	274	10.3	82	Tem
61	285	6.3	84	Tem
79	187	5.1	87	Tem
63	220	11.5	85	Tem
16	7	6.9	74	Tem
80	294	8.6	86	Tem
108	223	8	85	Tem
20	81	8.6	82	Tem
52	82	12	86	Tem
82	213	7.4	88	Tem
50	275	7.4	86	Tem
64	253	7.4	83	Tem
59	254	9.2	81	Tem
39	83	6.9	81	Agu
9	24	13.8	81	Agu
16	77	7.4	82	Agu
122	255	4	89	Agu
89	229	10.3	90	Agu
110	207	8	90	Agu
44	192	11.5	86	Agu
28	273	11.5	82	Agu
65	157	9.7	80	Agu
22	71	10.3	77	Agu
59	51	6.3	79	Agu
23	115	7.4	76	Agu
31	244	10.9	78	Agu
44	190	10.3	78	Agu
21	259	15.5	77	Agu
9	36	14.3	72	Agu
45	212	9.7	79	Agu
168	238	3.4	81	Agu
73	215	8	86	Agu
76	203	9.7	97	Agu
118	225	2.3	94	Agu
84	237	6.3	96	Agu
85	188	6.3	94	Agu
96	167	6.9	91	Eyl
78	197	5.1	92	Eyl
73	183	2.8	93	Eyl
91	189	4.6	93	Eyl
47	95	7.4	87	Eyl
32	92	15.5	84	Eyl
20	252	10.9	80	Eyl
23	220	10.3	78	Eyl
21	230	10.9	75	Eyl
24	259	9.7	73	Eyl
44	236	14.9	81	Eyl
21	259	15.5	76	Eyl
28	238	6.3	77	Eyl
9	24	10.9	71	Eyl
13	112	11.5	71	Eyl
46	237	6.9	78	Eyl
18	224	13.8	67	Eyl
13	27	10.3	76	Eyl
24	238	10.3	68	Eyl
16	201	8	82	Eyl
13	238	12.6	64	Eyl
23	14	9.2	71	Eyl
36	139	10.3	81	Eyl
7	49	10.3	69	Eyl
14	20	16.6	63	Eyl
30	193	6.9	70	Eyl
14	191	14.3	75	Eyl
18	131	8	76	Eyl
20	223	11.5	68	Eyl
