U	AS	B	BA	MO	V	S04	T_AK	BC	CT	PH
125.20	2.9	600.0	40.0	200.0	20.0	880.0	404.0	199.0	2300.0	7.0
 15.12	1.0	996.0	-4.0	16.0	32.0	1250.0	166.0	105.0	2500.0	7.8
 70.39	-0.5	830.0	-4.0	-4.0	32.0	2250.0	300.0	181.0	5200.0	7.7
 21.27	-0.5	4000.0	-4.0	50.0	50.0	2125.0	204.0	113.0	4300.0	7.2
 58.20	2.0	119.0	166.0	-4.0	166.0	30.0	310.0	190.0	620.0	8.1
 25.04	-0.5	756.0	13.0	25.0	12.0	2100.0	228.0	121.0	3600.0	7.3
  5.54	1.2	169.0	8.0	-4.0	18.0	1800.0	234.0	119.0	2200.0	7.1
 14.04	0.8	2000.0	-4.0	50.0	150.0	1325.0	124.0	81.0	2800.0	8.0
  6.02	1.0	1250.0	750.0	25.0	50.0	380.0	354.0	196.0	1200.0	7.2
 11.98	-0.5	399.0	10.0	7.0	11.0	2300.0	140.0	82.0	3200.0	8.5
 15.30	0.5	756.0	180.0	12.0	25.0	145.0	402.0	211.0	1100.0	7.1
 19.85	-0.5	5000.0	-4.0	100.0	-4.0	2325.0	76.0	47.0	9000.0	8.1
 19.41	1.5	498.0	16.0	16.0	32.0	470.0	286.0	165.0	6400.0	7.7
  6.63	0.7	996.0	-4.0	17.0	100.0	1775.0	92.0	54.0	3300.0	8.2
 33.98	0.7	1000.0	10.0	20.0	40.0	840.0	260.0	141.0	2700.0	7.3
 17.64	1.3	300.0	20.0	10.0	10.0	495.0	352.0	168.0	2300.0	7.0
 18.63	2.9	300.0	100.0	20.0	30.0	60.0	264.0	157.0	780.0	7.6
 56.86	1.4	1000.0	60.0	60.0	60.0	465.0	400.0	220.0	2200.0	7.7
 53.74	0.7	250.0	-4.0	-4.0	25.0	2425.0	406.0	196.0	3900.0	7.0
 33.46	-0.5	562.0	6.0	-4.0	21.0	1845.0	278.0	138.0	3100.0	7.2
 38.20	0.9	1860.0	-4.0	12.0	50.0	3210.0	240.0	133.0	5600.0	7.2
