yumagr	cikagr	yumen	yumboy	sekind	rnkL	rnkA	rnkB	 rnkE 	cins
60.97	48.7	43.99	57.37	 76.68   	52.75	10.6	19.29	 57.16   	1
53.93	41.6	41.36	56.04	 73.80   	42.36	11.38	20.79	 48.54   	1
51.74	35.3	45.33	50.25	 90.21   	48.00	9.59	17.53	 51.99   	1
51.09	35.2	40.98	53.28	 76.91   	48.02	7.42	16.99	 51.47   	1
55.96	41.7	42.35	55.49	 76.32   	60.24	2.50	11.93	 61.46   	0
61.03	44.6	43.68	57.72	 75.68   	54.55	6.27	16.34	 57.29   	0
60.15	41.0	43.37	56.67	 76.53   	47.82	9.50	18.43	 52.12   	0
55.71	38.8	42.27	54.95	 76.92   	52.07	7.07	17.27	 55.31   	1
55.48	40.7	47.48	50.80	 93.46   	52.08	9.27	20.85	 56.86   	1
58.28	39.7	42.88	56.84	 75.44   	52.42	7.24	16.84	 55.53   	0
57.75	39.9	42.41	57.24	 74.09   	47.20	10.66	19.10	 52.02   	1
54.26	38.6	41.01	57.81	 70.94   	42.05	12.4	21.25	 48.72   	1
54.52	38.9	42.42	54.41	 77.96   	51.84	8.48	18.34	 55.64   	1
63.26	43.2	43.27	53.39	 81.05   	53.06	7.30	17.83	 56.45   	0
57.86	41.6	41.52	51.85	 80.08   	41.43	10.02	18.50	 46.47   	1
54.67	38.3	42.05	55.07	 76.36   	48.01	8.62	16.97	 51.65   	0
55.65	39.4	41.52	57.63	 72.05   	47.03	10.33	19.46	 51.93   	1
59.93	44.6	42.82	58.00	 73.83   	48.37	10.57	21.22	 53.87   	1
53.64	36.6	41.55	54.91	 75.67   	46.33	9.81	17.47	 50.48   	0
58.64	41.6	43.10	55.91	 77.09   	53.81	5.46	15.25	 56.20   	1
58.41	39.8	42.85	55.90	 76.65   	47.92	12.17	22.13	 54.17   	0
53.78	38.0	41.32	55.34	 74.67   	42.70	7.86	16.10	 46.31   	0
59.82	42.6	42.88	57.98	 73.96   	50.33	8.27	17.39	 53.89   	1
56.45	38.6	42.76	53.95	 79.26   	53.59	8.21	15.09	 56.28   	1
